,time,price,change,volume,amount,type
0,15:00:00,10.16,--,0,0,卖盘
1,15:00:00,10.16,--,0,0,卖盘
2,14:59:58,10.16,--,57,57912,卖盘
3,14:59:53,10.16,-0.01,182,184912,卖盘
4,14:59:47,10.17,--,30,30510,买盘
5,14:59:43,10.17,--,2,2034,买盘
6,14:59:38,10.17,--,2,2034,买盘
7,14:59:23,10.17,0.01,8,8136,买盘
8,14:59:17,10.16,-0.01,87,88392,卖盘
9,14:59:13,10.17,--,106,107802,买盘
10,14:59:08,10.17,--,65,66105,买盘
11,14:59:02,10.17,0.01,46,46782,买盘
12,14:58:52,10.16,--,245,248920,卖盘
13,14:58:47,10.16,--,717,728472,卖盘
14,14:58:43,10.16,-0.01,3,3048,卖盘
15,14:58:38,10.17,0.01,334,339678,买盘
16,14:58:32,10.16,-0.01,341,346456,卖盘
17,14:58:23,10.17,0.01,17,17289,买盘
18,14:58:17,10.16,-0.01,80,81280,卖盘
19,14:58:13,10.17,0.01,28,28476,买盘
20,14:58:08,10.16,-0.01,10,10160,卖盘
21,14:58:02,10.17,0.01,13,13221,买盘
22,14:57:53,10.16,-0.01,20,20320,卖盘
23,14:57:47,10.17,--,103,104751,买盘
24,14:57:32,10.17,--,50,50850,买盘
25,14:57:23,10.17,--,200,203400,买盘
26,14:57:17,10.17,--,36,36612,买盘
27,14:57:13,10.17,--,40,40680,买盘
28,14:57:08,10.17,--,35,35595,买盘
29,14:57:02,10.17,--,41,41697,买盘
30,14:56:53,10.17,--,160,163533,卖盘
31,14:56:47,10.17,-0.01,16,16272,卖盘
32,14:56:41,10.18,0.01,1,1018,买盘
33,14:56:37,10.17,--,129,131803,卖盘
34,14:56:32,10.17,-0.01,40,40680,卖盘
35,14:56:26,10.18,0.01,27,27486,买盘
36,14:56:22,10.17,--,100,101700,卖盘
37,14:56:17,10.17,--,71,72207,卖盘
38,14:56:11,10.17,--,40,40680,卖盘
39,14:56:07,10.17,--,2297,2336659,买盘
40,14:56:02,10.17,0.01,3,3051,买盘
41,14:55:56,10.16,-0.01,6,6096,卖盘
42,14:55:52,10.17,--,20,20340,买盘
43,14:55:47,10.17,-0.01,435,443208,卖盘
44,14:55:37,10.18,0.01,191,194438,买盘
45,14:55:32,10.17,--,161,163737,卖盘
46,14:55:26,10.17,--,85,86445,卖盘
47,14:55:22,10.17,--,60,61020,卖盘
48,14:55:17,10.17,0.01,1654,1682321,买盘
49,14:55:11,10.16,--,80,81686,卖盘
50,14:55:07,10.16,-0.01,97,98552,卖盘
51,14:55:02,10.17,--,1018,1035306,买盘
52,14:54:52,10.17,0.01,48,48816,买盘
53,14:54:47,10.16,-0.01,262,266872,卖盘
54,14:54:41,10.17,0.01,8,8136,买盘
55,14:54:37,10.16,-0.01,22,22352,卖盘
56,14:54:22,10.17,--,661,673050,卖盘
57,14:54:17,10.17,--,50,50850,卖盘
58,14:54:11,10.17,--,122,124074,卖盘
59,14:54:07,10.17,--,74,75258,卖盘
60,14:54:02,10.17,--,51,51867,卖盘
61,14:53:56,10.17,--,198,201366,卖盘
62,14:53:52,10.17,--,147,149499,卖盘
63,14:53:46,10.17,--,330,335610,卖盘
64,14:53:41,10.17,--,156,158652,卖盘
65,14:53:37,10.17,--,37,37629,卖盘
66,14:53:31,10.17,-0.01,116,117972,卖盘
67,14:53:26,10.18,0.01,45,45810,买盘
68,14:53:22,10.17,--,779,792243,卖盘
69,14:53:16,10.17,--,56,56952,卖盘
70,14:53:11,10.17,--,3,3051,卖盘
71,14:53:07,10.17,--,249,253233,卖盘
72,14:53:02,10.17,--,7,7119,卖盘
73,14:52:56,10.17,--,1,1017,卖盘
74,14:52:52,10.17,--,113,114921,卖盘
75,14:52:47,10.17,--,241,245097,卖盘
76,14:52:41,10.17,0.01,1353,1376204,买盘
77,14:52:37,10.16,-0.01,69,70104,卖盘
78,14:52:32,10.17,0.01,63,64071,买盘
79,14:52:26,10.16,--,60,60960,卖盘
80,14:52:22,10.16,-0.01,3,3048,卖盘
81,14:52:17,10.17,--,100,101700,买盘
82,14:52:11,10.17,0.01,1,1017,买盘
83,14:52:07,10.16,--,56,56896,卖盘
84,14:51:56,10.16,--,150,152400,卖盘
85,14:51:47,10.16,--,25,25400,卖盘
86,14:51:41,10.16,--,34,34544,卖盘
87,14:51:37,10.16,--,4,4064,卖盘
88,14:51:32,10.16,--,27,27432,卖盘
89,14:51:26,10.16,--,37,37592,卖盘
90,14:51:17,10.16,-0.01,11,11176,卖盘
91,14:51:11,10.17,--,20,20340,买盘
92,14:51:07,10.17,--,6,6102,买盘
93,14:51:01,10.17,--,1226,1247655,卖盘
94,14:50:56,10.17,--,728,740376,卖盘
95,14:50:52,10.17,--,90,91530,卖盘
96,14:50:46,10.17,--,80,81360,卖盘
97,14:50:41,10.17,--,29,29493,卖盘
98,14:50:37,10.17,--,122,124074,卖盘
99,14:50:31,10.17,--,32,32544,卖盘
100,14:50:26,10.17,--,14,14238,卖盘
101,14:50:21,10.17,-0.01,29,29493,卖盘
102,14:50:16,10.18,0.01,33,33594,买盘
103,14:50:11,10.17,-0.01,3,3051,卖盘
104,14:50:07,10.18,0.01,302,307436,买盘
105,14:50:02,10.17,--,30,30510,卖盘
106,14:49:56,10.17,--,32,32544,卖盘
107,14:49:51,10.17,--,13,13221,卖盘
108,14:49:46,10.17,--,305,310185,卖盘
109,14:49:41,10.17,--,58,58986,卖盘
110,14:49:36,10.17,--,5,5085,卖盘
111,14:49:31,10.17,--,124,126108,卖盘
112,14:49:26,10.17,-0.01,29,29493,卖盘
113,14:49:21,10.18,0.01,10,10180,买盘
114,14:49:16,10.17,--,10,10170,卖盘
115,14:49:11,10.17,--,43,43731,卖盘
116,14:49:06,10.17,-0.01,10,10170,卖盘
117,14:49:01,10.18,0.01,2,2036,买盘
118,14:48:55,10.17,--,217,220689,卖盘
119,14:48:50,10.17,--,28,28476,卖盘
120,14:48:46,10.17,-0.01,16,16272,卖盘
121,14:48:41,10.18,0.01,36,36648,买盘
122,14:48:35,10.17,--,16,16272,卖盘
123,14:48:31,10.17,--,33,33561,卖盘
124,14:48:25,10.17,--,104,105768,卖盘
125,14:48:16,10.17,--,50,50850,卖盘
126,14:48:10,10.17,-0.01,83,84411,卖盘
127,14:48:05,10.18,0.01,5,5090,买盘
