,time,price,change,volume,amount,type
0,15:00:24,5.03,0.01,2031,1021613,卖盘
1,14:57:27,5.02,--,0,0,卖盘
2,14:56:48,5.02,--,200,100399,卖盘
3,14:56:33,5.02,-0.01,50,25099,卖盘
4,14:56:27,5.03,0.01,804,404412,买盘
5,14:56:24,5.02,--,30,15059,卖盘
6,14:56:18,5.02,--,105,52709,卖盘
7,14:56:15,5.02,--,39,19578,卖盘
8,14:56:09,5.02,--,52,26103,买盘
9,14:56:06,5.02,0.01,5,2510,买盘
10,14:56:03,5.01,-0.01,30,15030,卖盘
11,14:55:57,5.02,--,27,13553,买盘
12,14:55:51,5.02,--,10,5020,买盘
13,14:55:48,5.02,0.01,10,5020,中性盘
14,14:55:39,5.01,-0.01,244,122244,卖盘
15,14:55:36,5.02,-0.01,1,501,卖盘
16,14:55:33,5.03,--,28,14084,买盘
17,14:55:30,5.03,0.01,106,53318,买盘
18,14:55:21,5.02,-0.01,495,248489,卖盘
19,14:55:18,5.03,--,700,352100,买盘
20,14:55:15,5.03,0.01,228,114684,买盘
21,14:55:06,5.02,-0.01,51,25601,卖盘
22,14:55:00,5.03,0.01,165,82995,买盘
23,14:54:57,5.02,--,98,49195,买盘
24,14:54:54,5.02,--,239,119977,买盘
25,14:54:51,5.02,--,152,76304,卖盘
26,14:54:45,5.02,--,45,22589,卖盘
27,14:54:42,5.02,--,68,34136,卖盘
28,14:54:30,5.02,--,103,51705,卖盘
29,14:54:27,5.02,--,200,100399,卖盘
30,14:54:21,5.02,-0.01,24,12047,卖盘
31,14:54:18,5.03,0.01,2,1006,买盘
32,14:54:09,5.02,--,227,113953,卖盘
33,14:54:06,5.02,-0.01,116,58231,卖盘
34,14:54:03,5.03,0.01,22,11066,买盘
35,14:54:00,5.02,--,11,5521,卖盘
36,14:53:48,5.02,--,100,50199,卖盘
37,14:53:45,5.02,--,200,100399,卖盘
38,14:53:42,5.02,--,55,27609,卖盘
39,14:53:39,5.02,--,32,16063,卖盘
40,14:53:24,5.02,--,215,107929,买盘
41,14:53:21,5.02,--,304,152608,买盘
42,14:53:18,5.02,--,37,18574,卖盘
43,14:53:15,5.02,--,20,10040,卖盘
44,14:53:09,5.02,-0.01,1,501,中性盘
45,14:53:00,5.03,0.01,49,24647,买盘
46,14:52:51,5.02,-0.01,386,194253,卖盘
47,14:52:48,5.03,0.01,115,57845,买盘
48,14:52:45,5.02,-0.01,5,2510,卖盘
49,14:52:36,5.03,--,2,1006,买盘
50,14:52:27,5.03,--,20,10060,买盘
51,14:52:24,5.03,--,261,131283,买盘
52,14:52:18,5.03,--,24,12072,买盘
53,14:52:12,5.03,0.01,10,5030,买盘
54,14:52:09,5.02,--,5,2510,卖盘
55,14:52:06,5.02,--,25,12549,卖盘
56,14:52:00,5.02,-0.01,11,5521,卖盘
57,14:51:57,5.03,0.01,567,285201,买盘
58,14:51:48,5.02,--,60,30119,卖盘
59,14:51:45,5.02,--,84,42188,买盘
60,14:51:42,5.02,--,20,10040,买盘
61,14:51:39,5.02,--,26,13051,买盘
62,14:51:30,5.02,--,386,193771,买盘
63,14:51:24,5.02,0.01,95,47689,买盘
64,14:51:21,5.01,--,1,501,卖盘
65,14:51:18,5.01,-0.01,50,25050,卖盘
66,14:51:09,5.02,0.01,2000,1003999,买盘
67,14:51:00,5.01,--,10,5010,卖盘
68,14:50:51,5.01,-0.01,5,2505,卖盘
